Between	 Other
,	 Other
but	 Other
in	 Other
the	 Other
august	 NN
light	 NN
of	 Other
abiding	 VB
memories	 NN
.	 Other
And	 Other
indeed	 RB
nothing	 NN
is	 VB
easier	 JJ
for	 Other
a	 Other
man	 NN
who	 Other
has	 VB
,	 Other
as	 Other
the	 Other
phrase	 NN
goes	 VB
,	 Other
``	 Other
followed	 VB
the	 Other
sea	 NN
''	 Other
with	 Other
reverence	 NN
and	 Other
affection	 NN
,	 Other
than	 Other
to	 Other
evoke	 VB
the	 Other
great	 JJ
spirit	 NN
of	 Other
the	 Other
past	 NN
upon	 Other
the	 Other
lower	 JJ
reaches	 NN
of	 Other
the	 Other
Thames	 NN
.	 Other
The	 Other
tidal	 JJ
current	 JJ
runs	 NN
to	 Other
and	 Other
fro	 NN
in	 Other
its	 PR
unceasing	 JJ
service	 NN
,	 Other
crowded	 VB
with	 Other
memories	 NN
of	 Other
men	 NN
and	 Other
ships	 NN
it	 PR
had	 VB
borne	 VB
to	 Other
the	 Other
rest	 NN
of	 Other
home	 NN
or	 Other
to	 Other
the	 Other
battles	 NN
of	 Other
the	 Other
sea	 NN
.	 Other
It	 PR
had	 VB
known	 VB
and	 Other
served	 VB
all	 Other
the	 Other
men	 NN
of	 Other
whom	 Other
the	 Other
nation	 NN
is	 VB
proud	 JJ
,	 Other
from	 Other
Sir	 NN
Francis	 NN
Drake	 NN
to	 Other
Sir	 NN
John	 NN
Franklin	 NN
,	 Other
knights	 NN
all	 Other
,	 Other
titled	 VB
and	 Other
untitled	 VB
--	 Other
the	 Other
great	 JJ
knights-errant	 JJ
of	 Other
the	 Other
sea	 NN
.	 Other
It	 PR
had	 VB
borne	 VB
all	 Other
the	 Other
ships	 NN
whose	 Other
names	 NN
are	 VB
like	 Other
jewels	 NN
flashing	 VB
in	 Other
the	 Other
night	 NN
of	 Other
time	 NN
,	 Other
from	 Other
the	 Other
Golden	 NN
Hind	 NN
returning	 VB
with	 Other
her	 PR
rotund	 JJ
flanks	 NN
full	 JJ
of	 Other
treasure	 NN
,	 Other
to	 Other
be	 VB
visited	 VB
by	 Other
the	 Other
Queen	 NN
Highness	 NN
and	 Other
thus	 RB
pass	 VB
out	 RB
of	 Other
the	 Other
gigantic	 JJ
tale	 NN
,	 Other
to	 Other
the	 Other
Erebus	 NN
and	 Other
Terror	 NN
,	 Other
bound	 VB
on	 Other
other	 JJ
conquests	 NN
--	 Other
and	 Other
that	 Other
never	 RB
returned	 VB
.	 Other
It	 PR
had	 VB
known	 VB
the	 Other
ships	 NN
and	 Other
the	 Other
men	 NN
.	 Other
They	 PR
had	 VB
sailed	 VB
from	 Other
Deptford	 NN
,	 Other
from	 Other
Greenwich	 NN
,	 Other
from	 Other
Erith	 NN
--	 Other
the	 Other
adventurers	 NN
and	 Other
the	 Other
settlers	 NN
;	 Other
kings	 NN
'	 Other
ships	 NN
and	 Other
the	 Other
ships	 NN
of	 Other
men	 NN
on	 Other
`	 Other
Change	 NN
;	 Other
captains	 NN
,	 Other
admirals	 NN
,	 Other
the	 Other
dark	 JJ
``	 Other
interlopers	 NN
''	 Other
of	 Other
the	 Other
Eastern	 NN
trade	 NN
,	 Other
and	 Other
the	 Other
commissioned	 VB
``	 Other
generals	 NN
''	 Other
of	 Other
East	 NN
India	 NN
fleets	 NN
.	 Other
Hunters	 NN
for	 Other
gold	 NN
or	 Other
pursuers	 NN
of	 Other
fame	 NN
,	 Other
they	 PR
all	 Other
had	 VB
gone	 VB
out	 Other
on	 Other
that	 Other
stream	 NN
,	 Other
bearing	 VB
the	 Other
sword	 NN
,	 Other
and	 Other
often	 RB
the	 Other
torch	 NN
,	 Other
messengers	 NN
of	 Other
the	 Other
might	 Other
within	 Other
the	 Other
land	 NN
,	 Other
bearers	 NN
of	 Other
a	 Other
spark	 VB
from	 Other
the	 Other
sacred	 JJ
fire	 NN
.	 Other
What	 Other
greatness	 NN
had	 VB
not	 RB
floated	 VB
on	 Other
the	 Other
ebb	 NN
of	 Other
that	 Other
river	 NN
into	 Other
the	 Other
mystery	 NN
of	 Other
an	 Other
unknown	 JJ
earth	 NN
!	 Other
...	 Other
The	 Other
dreams	 NN
of	 Other
men	 NN
,	 Other
the	 Other
seed	 NN
of	 Other
commonwealths	 NN
,	 Other
the	 Other
germs	 NN
of	 Other
empires	 NN
.	 Other
The	 Other
swaying	 VB
had	 VB
come	 VB
to	 Other
a	 Other
halt	 NN
and	 Other
it	 PR
was	 VB
dark	 JJ
.	 Other
The	 Other
Explorer	 NN
was	 VB
not	 RB
comfortable	 JJ
in	 Other
the	 Other
alien	 JJ
air	 NN
.	 Other
It	 PR
felt	 VB
as	 Other
thick	 JJ
as	 Other
soup	 NN
and	 Other
he	 PR
had	 VB
to	 Other
breathe	 VB
shallowly	 RB
.	 Other
Even	 RB
so	 RB
--	 Other
He	 PR
reached	 VB
out	 Other
in	 Other
a	 Other
sudden	 JJ
need	 NN
for	 Other
company	 NN
.	 Other
The	 Other
Merchant	 NN
was	 VB
warm	 JJ
to	 Other
the	 Other
touch	 NN
.	 Other
His	 PR
breathing	 NN
was	 VB
rough	 JJ
,	 Other
he	 PR
moved	 VB
in	 Other
an	 Other
occasional	 JJ
spasm	 NN
,	 Other
and	 Other
was	 VB
obviously	 RB
asleep	 RB
.	 Other
The	 Other
Explorer	 NN
hesitated	 VB
and	 Other
decided	 VB
not	 RB
to	 Other
wake	 VB
him	 PR
.	 Other
It	 PR
would	 Other
serve	 VB
no	 Other
real	 JJ
purpose	 NN
.	 Other
There	 Other
would	 Other
be	 VB
no	 Other
rescue	 NN
,	 Other
of	 Other
course	 NN
.	 Other
That	 Other
was	 VB
the	 Other
penalty	 NN
paid	 VB
for	 Other
the	 Other
high	 JJ
profits	 NN
which	 Other
unrestrained	 JJ
competition	 NN
could	 Other
lead	 VB
to	 Other
.	 Other
The	 Other
Merchant	 NN
who	 Other
opened	 VB
a	 Other
new	 JJ
planet	 NN
could	 Other
have	 VB
a	 Other
ten	 Other
year	 NN
monopoly	 NN
of	 Other
its	 PR
trade	 NN
,	 Other
which	 Other
he	 PR
might	 Other
hug	 NN
to	 Other
himself	 PR
or	 Other
,	 Other
more	 RB
likely	 JJ
,	 Other
rent	 VB
out	 Other
to	 Other
all	 Other
comers	 NN
at	 Other
a	 Other
stiff	 JJ
price	 NN
.	 Other
It	 PR
followed	 VB
that	 Other
planets	 NN
were	 VB
searched	 VB
for	 Other
in	 Other
secrecy	 NN
and	 Other
,	 Other
preferably	 RB
,	 Other
away	 RB
from	 Other
the	 Other
usual	 JJ
trade	 NN
routes	 NN
.	 Other
In	 Other
a	 Other
case	 NN
such	 JJ
as	 Other
theirs	 JJ
,	 Other
then	 RB
,	 Other
there	 Other
was	 VB
little	 JJ
or	 Other
no	 Other
chance	 NN
that	 Other
another	 Other
ship	 NN
would	 Other
come	 VB
within	 Other
range	 NN
of	 Other
their	 PR
subetherics	 NN
except	 Other
for	 Other
the	 Other
most	 RB
improbable	 JJ
of	 Other
coincidences	 NN
.	 Other
Even	 RB
if	 Other
they	 PR
were	 VB
in	 Other
their	 PR
ship	 NN
,	 Other
that	 Other
is	 VB
,	 Other
rather	 RB
than	 Other
in	 Other
this	 Other
--	 Other
this	 Other
--	 Other
cage	 NN
.	 Other
The	 Other
Explorer	 NN
grasped	 VB
the	 Other
thick	 JJ
bars	 NN
.	 Other
Even	 RB
if	 Other
they	 PR
blasted	 VB
those	 Other
away	 RB
,	 Other
as	 Other
they	 PR
could	 Other
,	 Other
they	 PR
would	 Other
be	 VB
stuck	 VB
too	 RB
high	 JJ
in	 Other
open	 JJ
air	 NN
for	 Other
leaping	 VB
.	 Other
It	 PR
was	 VB
too	 RB
bad	 JJ
.	 Other
They	 PR
had	 VB
landed	 VB
twice	 RB
before	 RB
in	 Other
the	 Other
scout-ship	 NN
.	 Other
They	 PR
had	 VB
established	 VB
contact	 NN
with	 Other
the	 Other
natives	 NN
who	 Other
were	 VB
grotesquely	 RB
huge	 JJ
,	 Other
but	 Other
mild	 JJ
and	 Other
unaggressive	 JJ
.	 Other
It	 PR
was	 VB
obvious	 JJ
that	 Other
they	 PR
had	 VB
once	 RB
owned	 VB
a	 Other
flourishing	 JJ
technology	 NN
,	 Other
but	 Other
had	 VB
n't	 RB
faced	 VB
up	 Other
to	 Other
the	 Other
consequences	 NN
of	 Other
such	 Other
a	 Other
technology	 NN
.	 Other
It	 PR
would	 Other
have	 VB
been	 VB
a	 Other
wonderful	 JJ
market	 NN
.	 Other
And	 Other
it	 PR
was	 VB
a	 Other
tremendous	 JJ
world	 NN
.	 Other
The	 Other
Merchant	 NN
,	 Other
especially	 RB
,	 Other
had	 VB
been	 VB
taken	 VB
aback	 RB
.	 Other
He	 PR
had	 VB
known	 VB
the	 Other
figures	 NN
that	 Other
expressed	 VB
the	 Other
planet	 NN
diameter	 NN
,	 Other
but	 Other
from	 Other
a	 Other
distance	 NN
of	 Other
two	 Other
light-seconds	 NN
,	 Other
he	 PR
had	 VB
stood	 VB
at	 Other
the	 Other
visi-plate	 JJ
and	 Other
muttered	 JJ
,	 Other
``	 Other
Unbelievable	 JJ
!	 Other
''	 Other
``	 Other
Oh	 Other
,	 Other
there	 Other
are	 VB
larger	 JJ
worlds	 NN
,	 Other
''	 Other
the	 Other
Explorer	 NN
said	 VB
.	 Other
It	 PR
would	 Other
n't	 RB
do	 VB
for	 Other
an	 Other
Explorer	 NN
to	 Other
be	 VB
too	 RB
easily	 RB
impressed	 JJ
.	 Other
``	 Other
Inhabited	 VB
?	 Other
''	 Other
``	 Other
Well	 Other
,	 Other
no	 Other
.	 Other
''	 Other
``	 Other
Why	 Other
,	 Other
you	 PR
could	 Other
drop	 VB
your	 PR
planet	 NN
into	 Other
that	 Other
large	 JJ
ocean	 NN
and	 Other
drown	 VB
it	 PR
.	 Other
''	 Other
The	 Other
Explorer	 NN
smiled	 VB
.	 Other
It	 PR
was	 VB
a	 Other
gentle	 JJ
dig	 NN
at	 Other
his	 PR
Arcturian	 JJ
homeland	 NN
,	 Other
which	 Other
was	 VB
smaller	 JJ
than	 Other
most	 JJ
planets	 NN
.	 Other
He	 PR
said	 VB
,	 Other
``	 Other
Not	 RB
quite	 RB
.	 Other
''	 Other
The	 Other
Merchant	 NN
followed	 VB
along	 Other
the	 Other
line	 NN
of	 Other
his	 PR
thoughts	 NN
.	 Other
``	 Other
And	 Other
the	 Other
inhabitants	 NN
are	 VB
large	 JJ
in	 Other
proportion	 NN
to	 Other
their	 PR
world	 NN
?	 Other
''	 Other
He	 PR
sounded	 VB
as	 Other
though	 Other
the	 Other
news	 NN
struck	 VB
him	 PR
less	 RB
favorably	 RB
now	 RB
.	 Other
Solvency	 NN
2	 Other
standards	 NN
will	 Other
make	 VB
a	 Other
radical	 JJ
change	 NN
in	 Other
risk	 NN
management	 NN
practices	 NN
in	 Other
the	 Other
actuarial	 JJ
sector	 NN
.	 Other
They	 PR
are	 VB
based	 VB
on	 Other
a	 Other
strengthening	 NN
of	 Other
risk	 NN
control	 NN
and	 Other
minimization	 NN
of	 Other
a	 Other
ruin	 VB
probability	 NN
.	 Other
The	 Other
determination	 NN
of	 Other
the	 Other
economic	 JJ
regulatory	 JJ
capital	 NN
will	 Other
be	 VB
faced	 VB
under	 Other
this	 Other
prudential	 JJ
mechanism	 NN
with	 Other
a	 Other
kind	 NN
of	 Other
methodological	 JJ
revolution	 NN
.	 Other
A	 Other
choices	 NN
of	 Other
a	 Other
dependence	 NN
model	 NN
between	 Other
different	 JJ
risks	 NN
and	 Other
of	 Other
an	 Other
aggregation	 NN
methodology	 NN
are	 VB
both	 Other
required	 VB
.	 Other
In	 Other
the	 Other
prescribed	 VB
Standard	 NN
Formula	 NN
,	 Other
risks	 VB
aggregation	 NN
is	 VB
done	 VB
using	 VB
correlation	 NN
matrices	 NN
that	 Other
connect	 VB
families	 NN
and	 Other
subfamilies	 NN
of	 Other
risks	 NN
.	 Other
Once	 RB
the	 Other
Solvency	 NN
Capital	 NN
Requirement	 NN
-LRB-	 Other
SCR	 NN
-RRB-	 Other
is	 VB
calculated	 VB
,	 Other
its	 PR
allocation	 NN
between	 Other
the	 Other
different	 JJ
risky	 JJ
activity	 NN
branches	 NN
becomes	 VB
the	 Other
new	 JJ
operational	 JJ
challenge	 NN
.	 Other
Capital	 NN
allocation	 NN
is	 VB
an	 Other
internal	 JJ
exercise	 NN
,	 Other
certainly	 RB
not	 RB
controlled	 VB
by	 Other
the	 Other
first	 JJ
pillar	 NN
of	 Other
Solvency	 NN
2	 Other
,	 Other
but	 Other
it	 PR
plays	 VB
a	 Other
crucial	 JJ
role	 NN
in	 Other
determining	 VB
performance	 NN
of	 Other
all	 Other
the	 Other
insurer	 NN
activity	 NN
.	 Other
The	 Other
case	 NN
of	 Other
insurance	 NN
groups	 NN
requires	 VB
special	 JJ
treatment	 NN
in	 Other
the	 Other
context	 NN
of	 Other
the	 Other
Own	 NN
Risk	 NN
and	 Other
Solvency	 NN
Assessment	 NN
-LRB-	 Other
ORSA	 NN
-RRB-	 Other
approach	 NN
.	 Other
In	 Other
this	 Other
context	 NN
,	 Other
a	 Other
multivariate	 JJ
analysis	 NN
of	 Other
risk	 NN
seems	 VB
relevant	 JJ
.	 Other
The	 Other
issue	 NN
of	 Other
capital	 NN
allocation	 NN
in	 Other
a	 Other
multivariate	 JJ
context	 NN
arises	 VB
from	 Other
the	 Other
presence	 NN
of	 Other
dependence	 NN
between	 Other
the	 Other
various	 JJ
risky	 JJ
activities	 NN
which	 Other
may	 Other
generate	 VB
a	 Other
diversification	 NN
effect	 NN
.	 Other
Several	 JJ
allocation	 NN
methods	 NN
in	 Other
the	 Other
literature	 NN
are	 VB
based	 VB
on	 Other
a	 Other
choice	 NN
of	 Other
a	 Other
univariate	 JJ
risk	 NN
measure	 NN
and	 Other
an	 Other
allocation	 NN
principle	 NN
.	 Other
Others	 NN
are	 VB
based	 VB
on	 Other
optimizing	 VB
a	 Other
multivariate	 JJ
ruin	 VB
probability	 NN
or	 Other
some	 Other
multivariate	 JJ
risk	 NN
indicators	 NN
.	 Other
In	 Other
this	 Other
paper	 NN
,	 Other
we	 PR
focus	 VB
on	 Other
the	 Other
allocation	 NN
technique	 NN
by	 Other
minimizing	 VB
some	 Other
risk	 NN
indicators	 NN
.	 Other
The	 Other
literature	 NN
on	 Other
the	 Other
subject	 NN
of	 Other
capital	 NN
allocation	 NN
methods	 NN
is	 VB
very	 RB
rich	 JJ
.	 Other
Several	 JJ
principles	 NN
have	 VB
been	 VB
proposed	 VB
over	 Other
the	 Other
last	 JJ
twenty	 Other
years	 NN
.	 Other
The	 Other
most	 RB
important	 JJ
and	 Other
most	 RB
studied	 VB
are	 VB
the	 Other
Shapley	 NN
method	 NN
,	 Other
the	 Other
Aumann-Shapley	 NN
method	 NN
and	 Other
the	 Other
Euler	 NN
method	 NN
.	 Other
The	 Other
Shapley	 NN
method	 NN
is	 VB
based	 VB
on	 Other
cooperative	 JJ
game	 NN
theory	 NN
.	 Other
It	 PR
is	 VB
described	 VB
in	 Other
detail	 NN
in	 Other
Denault	 NN
paper	 NN
-LRB-	 Other
2001	 Other
-RRB-	 Other
-LSB-	 Other
10	 Other
-RSB-	 Other
.	 Other
Denault	 NN
proved	 VB
that	 Other
this	 Other
method	 NN
,	 Other
originally	 RB
used	 VB
to	 Other
allocate	 VB
the	 Other
total	 JJ
cost	 NN
between	 Other
players	 NN
in	 Other
coalitional	 JJ
games	 NN
context	 NN
,	 Other
can	 Other
be	 VB
easily	 RB
adapted	 VB
to	 Other
solve	 VB
the	 Other
problem	 NN
of	 Other
the	 Other
overall	 JJ
risk	 NN
allocation	 NN
between	 Other
segments	 NN
.	 Other
Tasche	 NN
devoted	 JJ
two	 Other
papers	 NN
-LSB-	 Other
21	 Other
-RSB-	 Other
and	 Other
-LSB-	 Other
22	 Other
-RSB-	 Other
to	 Other
describe	 VB
Euler	 NN
method	 NN
.	 Other
Euler	 NN
method	 NN
is	 VB
also	 RB
found	 VB
in	 Other
the	 Other
literature	 NN
under	 Other
the	 Other
name	 NN
of	 Other
gradient	 NN
method	 NN
.	 Other
It	 PR
is	 VB
based	 VB
on	 Other
the	 Other
idea	 NN
of	 Other
allocating	 VB
capital	 NN
according	 VB
to	 Other
the	 Other
infinitesimal	 JJ
marginal	 JJ
impact	 NN
of	 Other
each	 Other
risk	 NN
.	 Other
This	 Other
impact	 NN
corresponds	 VB
to	 Other
the	 Other
increase	 NN
obtained	 VB
on	 Other
the	 Other
overall	 JJ
risk	 NN
,	 Other
yielding	 VB
an	 Other
infinitely	 RB
small	 JJ
increment	 NN
in	 Other
a	 Other
marginal	 JJ
risk	 NN
.	 Other
Euler	 NN
method	 NN
is	 VB
very	 RB
present	 JJ
in	 Other
the	 Other
literature	 NN
.	 Other
Several	 JJ
papers	 NN
analyze	 VB
its	 PR
properties	 NN
-LRB-	 Other
RORAC	 NN
compatibility	 NN
-LSB-	 Other
6	 Other
-RSB-	 Other
,	 Other
-LSB-	 Other
23	 Other
-RSB-	 Other
,	 Other
Coherence	 NN
-LSB-	 Other
5	 Other
-RSB-	 Other
,	 Other
...	 Other
-RRB-	 Other
under	 Other
different	 JJ
assumptions	 NN
-LRB-	 Other
Tasche	 NN
-LRB-	 Other
2004	 Other
-RRB-	 Other
-LSB-	 Other
20	 Other
-RSB-	 Other
,	 Other
Balog	 NN
-LRB-	 Other
2011	 Other
-RRB-	 Other
-LSB-	 Other
2	 Other
-RSB-	 Other
-RRB-	 Other
.	 Other
Its	 PR
fame	 NN
is	 VB
due	 JJ
to	 Other
the	 Other
existence	 NN
of	 Other
economic	 JJ
arguments	 NN
that	 Other
can	 Other
justify	 VB
its	 PR
use	 NN
to	 Other
develop	 VB
allocation	 NN
rules	 NN
.	 Other
Finally	 RB
,	 Other
Aumann-Shapley	 NN
method	 NN
is	 VB
a	 Other
continuous	 JJ
generalization	 NN
of	 Other
Shapley	 NN
method	 NN
.	 Other
Its	 PR
principle	 NN
is	 VB
based	 VB
on	 Other
the	 Other
value	 NN
introduced	 VB
by	 Other
Aumann	 NN
and	 Other
Shaplay	 NN
in	 Other
game	 NN
theory	 NN
.	 Other
Denault	 NN
-LSB-	 Other
10	 Other
-RSB-	 Other
analyzes	 VB
this	 Other
method	 NN
and	 Other
its	 PR
application	 NN
to	 Other
capital	 NN
allocation	 NN
.	 Other
These	 Other
three	 Other
capital	 NN
allocation	 NN
principles	 NN
rely	 VB
on	 Other
different	 JJ
risk	 NN
measures	 NN
.	 Other
The	 Other
coherence	 NN
of	 Other
the	 Other
allocation	 NN
method	 NN
depends	 VB
on	 Other
the	 Other
properties	 NN
of	 Other
the	 Other
selected	 VB
risk	 NN
measure	 NN
.	 Other
Several	 JJ
papers	 NN
deal	 VB
with	 Other
capital	 NN
allocation	 NN
coherence	 NN
based	 VB
on	 Other
the	 Other
properties	 NN
of	 Other
the	 Other
risk	 NN
measure	 NN
used	 VB
.	 Other
We	 PR
quote	 VB
as	 Other
examples	 NN
,	 Other
Fischer	 NN
-LRB-	 Other
2003	 Other
-RRB-	 Other
-LSB-	 Other
12	 Other
-RSB-	 Other
,	 Other
Bush	 NN
and	 Other
Dorfleitner	 NN
-LRB-	 Other
2008	 Other
-RRB-	 Other
-LSB-	 Other
5	 Other
-RSB-	 Other
,	 Other
and	 Other
Kalkbrener	 NN
-LRB-	 Other
2009	 Other
-RRB-	 Other
-LSB-	 Other
16	 Other
-RSB-	 Other
.	 Other
Lecturers	 NN
are	 VB
non-tenure	 JJ
track	 NN
adjunct-faculty	 JJ
members	 NN
.	 Other
They	 PR
say	 VB
that	 Other
they	 PR
are	 VB
not	 RB
treated	 VB
like	 Other
professionals	 NN
,	 Other
even	 RB
though	 Other
they	 PR
teach	 VB
classes	 NN
,	 Other
engage	 VB
in	 Other
writing	 VB
and	 Other
research	 NN
,	 Other
and	 Other
hold	 VB
advanced	 JJ
degrees	 NN
from	 Other
top	 JJ
universities	 NN
.	 Other
Across	 Other
the	 Other
University	 NN
of	 Other
California	 NN
system	 NN
about	 Other
one-third	 NN
of	 Other
all	 Other
classes	 NN
are	 VB
taught	 VB
by	 Other
Lecturers	 NN
,	 Other
and	 Other
contingent	 JJ
faculty	 NN
members	 NN
teach	 VB
over	 Other
half	 NN
of	 Other
the	 Other
UC	 NN
undergraduate	 JJ
credit	 NN
hours	 NN
in	 Other
total	 NN
,	 Other
if	 Other
graduate	 JJ
student	 NN
teachers	 NN
are	 VB
included	 VB
in	 Other
the	 Other
equation	 NN
.	 Other
The	 Other
majority	 NN
of	 Other
Lecturers	 NN
are	 VB
hired	 VB
year-by-year	 JJ
or	 Other
quarter-by-quarter	 JJ
as	 Other
``	 Other
temp	 NN
''	 Other
workers	 NN
,	 Other
which	 Other
leaves	 VB
them	 PR
with	 Other
no	 Other
job	 NN
security	 NN
.	 Other
Additionally	 RB
,	 Other
a	 Other
full-time	 JJ
Lecturer	 NN
workload	 NN
is	 VB
typically	 RB
twice	 RB
that	 Other
of	 Other
a	 Other
tenure	 NN
track	 NN
professor	 NN
,	 Other
yet	 RB
they	 PR
are	 VB
paid	 VB
significantly	 RB
less	 RB
.	 Other
Many	 JJ
of	 Other
the	 Other
picket	 NN
signs	 NN
displayed	 VB
at	 Other
the	 Other
picnic	 NN
communicated	 VB
around	 Other
the	 Other
theme	 NN
of	 Other
precarity	 NN
.	 Other
One	 Other
such	 JJ
message	 NN
,	 Other
``	 Other
A	 Other
Precarious	 JJ
Faculty	 NN
=	 JJ
A	 Other
Precarious	 JJ
University	 NN
,	 Other
''	 Other
was	 VB
emblazoned	 VB
on	 Other
a	 Other
gold	 NN
flag	 NN
along	 Other
with	 Other
the	 Other
stencil	 NN
of	 Other
a	 Other
fist	 NN
holding	 VB
a	 Other
pencil	 NN
.	 Other
Precarity	 NN
has	 VB
been	 VB
defined	 VB
as	 Other
a	 Other
condition	 NN
